Computed PF file: mls-eval-d200-c15/mls-eval-d200-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=910]
144.4630 48.6000 8.2000
100.3870 43.8000 5.4000
97.6234 41.6000 5.2000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
59.3080 32.0000 2.8000
21.7361 16.6000 0.4000
18.5805 15.2000 0.2000
40.3902 24.0000 1.6000
59.3370 32.6000 2.8000
94.4891 41.8000 5.0000
62.8864 34.4000 3.0000
138.2320 47.4000 7.8000
59.5825 34.2000 2.8000
50.7739 28.4000 2.2000
150.0210 48.2000 8.6000
37.5259 23.0000 1.4000
50.9877 28.6000 2.2000
56.1292 31.8000 2.6000
46.7704 27.2000 2.0000
31.3096 20.8000 1.0000
76.3094 38.2000 3.8000
37.3603 21.6000 1.4000
75.9965 37.0000 3.8000
56.1115 31.0000 2.6000
100.3350 43.8000 5.4000
40.4834 24.6000 1.6000
94.3065 40.6000 5.0000
94.1907 39.0000 5.0000
41.1821 26.4000 1.6000
47.3842 27.8000 2.0000
150.8180 48.4000 8.6000
44.2006 26.6000 1.8000
28.0911 18.2000 0.8000
28.4063 19.0000 0.8000
113.4780 46.2000 6.2000
34.7760 21.4000 1.2000
66.6588 34.6000 3.2000
144.5050 47.8000 8.2000
79.3760 38.6000 4.0000
69.2972 36.2000 3.4000
103.7660 44.4000 5.6000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
37.5259 23.0000 1.4000
21.7361 16.6000 0.4000
18.5805 15.2000 0.2000
100.3250 42.0000 5.4000
98.1474 41.8000 5.2000
59.5825 34.2000 2.8000
100.4800 44.0000 5.4000
28.4063 19.0000 0.8000
69.7806 36.0000 3.4000
141.7520 48.4000 8.0000
50.0471 27.6000 2.2000
172.2330 49.0000 10.0000
56.1115 31.0000 2.6000
91.5188 39.8000 4.8000
37.3603 21.6000 1.4000
59.3080 32.0000 2.8000
79.1737 38.4000 4.0000
131.0890 46.2000 7.4000
50.8347 28.2000 2.2000
69.1358 34.6000 3.4000
134.6440 47.6000 7.6000
59.3264 32.6000 2.8000
141.5140 48.0000 8.0000
40.4834 24.6000 1.6000
43.6441 25.8000 1.8000
75.9965 37.0000 3.8000
160.3850 48.6000 9.2000
31.3096 20.8000 1.0000
50.9877 28.6000 2.2000
43.5733 24.8000 1.8000
107.0740 45.0000 5.8000
88.1088 39.0000 4.6000
44.2022 26.6000 1.8000
28.0911 18.2000 0.8000
168.7750 48.8000 9.8000
50.8948 28.4000 2.2000
40.4560 23.2000 1.6000
100.3390 43.8000 5.4000
59.9384 34.4000 2.8000
106.9940 44.8000 5.8000
34.7760 21.4000 1.2000
56.1292 31.8000 2.6000
69.3084 34.8000 3.4000
46.7704 27.2000 2.0000
125.9040 45.4000 7.0000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
168.3090 49.0000 9.8000
18.5805 15.2000 0.2000
21.7361 16.6000 0.4000
78.5650 37.2000 4.0000
56.1115 31.0000 2.6000
93.9290 39.4000 5.0000
91.6572 38.6000 4.8000
59.5825 34.2000 2.8000
37.2390 21.6000 1.4000
34.7760 21.4000 1.2000
115.5850 45.6000 6.4000
91.7437 38.8000 4.8000
44.1885 26.6000 1.8000
141.1900 47.8000 8.0000
72.4189 35.4000 3.6000
150.0210 48.2000 8.6000
40.4834 24.6000 1.6000
37.5259 23.0000 1.4000
94.5525 41.8000 5.0000
37.2606 22.0000 1.4000
28.0911 18.2000 0.8000
110.0280 44.6000 6.0000
50.0418 27.6000 2.2000
94.3065 40.6000 5.0000
97.4452 42.2000 5.2000
141.5140 48.0000 8.0000
132.0580 46.8000 7.4000
100.4280 44.0000 5.4000
40.3902 24.0000 1.6000
43.5510 25.2000 1.8000
97.5381 42.4000 5.2000
72.2981 35.0000 3.6000
56.1292 31.8000 2.6000
28.4063 19.0000 0.8000
138.2320 47.4000 7.8000
31.3096 20.8000 1.0000
46.7704 27.2000 2.0000
43.6441 25.8000 1.8000
50.7798 28.4000 2.2000
59.3080 32.0000 2.8000
69.0916 34.6000 3.4000
84.5247 38.0000 4.4000
75.5520 37.0000 3.8000
150.9180 48.4000 8.6000
72.5287 36.0000 3.6000
72.7205 36.4000 3.6000
69.5994 34.8000 3.4000

Computed PF [count=60]
23.5716 17.2000 0.5000
